,suburb,latitude,longitude,distance
253,Freemans Reach,-33.56146,150.79787,51.152359051047895
254,Frenchs Forest,-33.749,151.2331,13.471799216655475
255,Freshwater,-33.7749,151.28783,12.70371589451177
256,Gables,-33.631954,150.9023634,38.71689944569186
257,Galston,-33.65,151.043,28.74785205754954
258,Georges Hall,-33.91217,150.98557,21.246574938545837
259,Gilead,-34.1410068,150.7923904,48.936852568589664
260,Girraween,-33.80128,150.94305,25.757943989972315
261,Gladesville,-33.8301698,151.1267591,8.759325450615453
262,Glebe,-33.8797767,151.1869715,2.396473344632861
263,Gledswood Hills,-34.011667,150.780278,42.71020351010634
264,Glen Alpine,-34.09,150.785,46.251039367094684
265,Glendenning,-33.7461349,150.8536426,35.63170896098521
266,Glenfield,-33.9748797,150.8992441,30.98999137877035
267,Glenhaven,-33.70547,151.00334,26.308090350605088
268,Glenmore Park,-33.79,150.676,50.13476033798447
269,Glenorie,-33.60224,151.00247,35.23697014446472
270,Glenwood,-33.7398598,150.9385702,28.862005147146842
271,Glossodia,-33.53432,150.78231,54.25354104374975
272,Gordon,-33.7556261,151.1527768,13.60219125427796
273,Grantham Farm,-33.8248849,151.1883439,5.244845017333323
274,Granville,-33.8353132,151.0065546,19.12712501517031
275,Grasmere,-34.057,150.667,54.29419212810117
276,Grays Point,-34.05508,151.07492,24.105996481697904
277,Great Mackerel Beach,-33.59166700000001,151.300833,31.890138131761656
278,Green Valley,-33.90596,150.86681,31.94883790432833
279,Greenacre,-33.9077605,151.0643509,14.086724813023844
280,Greendale,-33.92,150.67,50.206185802426916
281,Greenfield Park,-33.87676,150.88819,29.72245038224951
282,Greenhills Beach,-34.034689,151.1646,18.856650125476868
283,Greenwich,-33.83302,151.18362,4.6275397537886995
284,Gregory Hills,-34.0307506,150.7766392,43.84248958090583
285,Greystanes,-33.8297061,150.9488947,24.486873500976337
286,Grose Vale,-33.584,150.674,58.81555235733589
287,Grose Wold,-33.598611,150.684722,57.10948144318266
288,Guildford,-33.8557329,150.9950627,19.876806672607366
289,Guildford West,-33.850656,150.96308,22.872783131034844
290,Gymea,-34.0333,151.08556,21.53327458216302
291,Gymea Bay,-34.0496,151.0864,23.046248408204264
292,Haberfield,-33.8804879,151.138849,6.644985810356272
293,Hammondville,-33.9522602,150.9601708,24.82891852932563
294,Harrington Park,-34.02769,150.73081,47.612647698276305
295,Harris Park,-33.8219453,151.0107506,19.09708397076423
296,Hassall Grove,-33.7309406,150.840584,37.41162492756259
297,Haymarket,-33.88092,151.20294,1.4653220672733709
298,Heathcote,-34.08506,151.00808,30.349044450408865
299,Hebersham,-33.7459836,150.8245953,38.137260823340895
300,Heckenberg,-33.91068,150.88887,30.002085179229404
301,Henley,-33.84252,151.13475,7.489929563755947
302,Hillsdale,-33.95493,151.22875,9.719394691432585
303,Hinchinbrook,-33.9165364,150.8639325,32.38181400596148
304,Hobartville,-33.60458,150.74298,52.21449965937395
305,Holroyd,-33.831,150.997,20.090143947186363
306,Holsworthy,-33.9565362,150.9498811,25.88832606374136
307,Homebush,-33.8628387,151.0796443,12.014925863720714
308,Homebush West,-33.8623709,151.066621,13.221039558259205
309,Horningsea Park,-33.944,150.844,34.7986349954363
310,Hornsby,-33.7046328,151.0987055,20.893982230305717
311,Hornsby Heights,-33.6722,151.0988,24.091172594669086
312,Horsley Park,-33.8417894,150.8553834,32.88835745647537
313,Hoxton Park,-33.93382,150.85284,33.74821743118968
314,Hunters Hill,-33.8337,151.14366,7.216052376508975
315,Huntingwood,-33.799,150.885,31.001026831318942
316,Huntleys Cove,-33.8385208,151.138135,7.3933814504976
317,Huntleys Point,-33.839,151.147,6.646448846425154
318,Hurlstone Park,-33.91058,151.12919,8.738727309178062
319,Hurstville,-33.9645633,151.1010187,14.595938560995489
320,Hurstville Grove,-33.97972,151.09298,16.33999590204445
321,Illawong,-34.00057,151.03587,21.69467852159769
322,Ingleburn,-34.0044124,150.8630229,35.37093337867546
323,Ingleside,-33.6823,151.26315,21.28135570299294
324,Jamisontown,-33.76829,150.67238,50.94329637069075
325,Jannali,-34.01695,151.06522,21.15123526384015
326,Jordan Springs,-33.724,150.728,47.376382477820165
327,Kangaroo Point,-34.002,151.096,18.109293588232227
328,Kareela,-34.01503,151.08046,20.121605803405586
329,Kearns,-34.02373,150.80628,41.0274436972308
330,Kellyville,-33.7111451,150.9550731,29.328858959318616
331,Kellyville Ridge,-33.703,150.919,32.57510600169389
332,Kemps Creek,-33.87464,150.79868,37.99700835073877
333,Kensington,-33.910021,151.2232749,4.749498610096496
334,Kenthurst,-33.6693,151.00158,29.325562971655973
335,Kentlyn,-34.05193,150.87797,36.74693683059739
336,Killara,-33.76864,151.16347,11.894212716262112
337,Killarney Heights,-33.7742,151.2155,10.510844826828503
338,Kings Langley,-33.7499763,150.9345044,28.655086092285348
339,Kings Park,-33.7457198,150.9047417,31.33123616940985
340,Kingsford,-33.92457,151.22765,6.412667505260926
341,Kingsgrove,-33.9386352,151.100641,12.686933614536704
342,Kingswood,-33.759,150.72,46.91083214018771
343,Kingswood Park,-33.759,150.72,46.91083214018771
344,Kirkham,-34.039,150.709,49.9488463060518
345,Kirrawee,-34.0357295,151.0707945,22.50930362780355
346,Kirribilli,-33.8491363,151.2175297,2.3124245882311043
347,Kogarah,-33.9643523,151.1372588,12.516544351706697
348,Kogarah Bay,-33.98338,151.12166,15.070941849246392
349,Ku-ring-gai Chase,-33.6375668,151.2339007,25.751201139277335
350,Kurmond,-33.6191215,150.8141326,45.91085158562471
351,Kurnell,-34.01159,151.20686,15.837868813455701
352,Kurraba Point,-33.843,151.223,3.132155342843586
353,Kurrajong,-33.55,150.6667,61.48447425699308
354,Kurrajong Hills,-33.533333,150.65,63.82116033900543
355,Kyeemagh,-33.94829,151.15711,10.049664551754177
356,Kyle Bay,-33.9911107,151.1002727,16.90006921271977
357,La Perouse,-33.9888,151.232,13.472904276276754
358,Lakemba,-33.9200417,151.0771497,13.47925443149885
359,Lalor Park,-33.7666,150.9277,28.42933578750752
360,Lane Cove,-33.8148145,151.1663935,7.186815118410603
361,Lane Cove North,-33.80627330000001,151.1664881,7.9893684949877075
362,Lane Cove West,-33.811478,151.1527422,8.237283426223073
363,Lansdowne,-33.89499,150.97418,21.943946881154353
364,Lansvale,-33.906913,150.9685549,22.667240083855305
365,Laughtondale,-33.450389,151.058737,48.46613059683186
366,Lavender Bay,-33.8435728,151.2069658,2.808667383348738
367,Leets Vale,-33.432,150.951,54.05093877712506
368,Leichhardt,-33.8837222,151.157028,5.1104279005560596
369,Len Waters Estate,-33.9143238,150.853667,33.281287503703446
370,Leonay,-33.76506,150.64568,53.43496997478033
371,Leppington,-33.965,150.801,39.235209625061465
372,Lethbridge Park,-33.7374293,150.8013419,40.48915576896595
373,Leumeah,-34.05546,150.83328,40.452377031583325
374,Lewisham,-33.8949,151.144415,6.662999582153102
375,Liberty Grove,-33.841667,151.083611,12.014606843851134
376,Lidcombe,-33.865214,151.0435043,15.345622197591517
377,Lilli Pilli,-34.068333,151.115833,23.75632890608603
378,Lilyfield,-33.874345,151.164693,4.172042817915385
379,Lindfield,-33.7787851,151.1693413,10.649523823063234
380,Linley Point,-33.8274222,151.1497868,7.170546865266635
381,Little Bay,-33.98054,151.24301,12.77823939012275
382,Liverpool,-33.9285567,150.9179595,27.74960920293
383,Llandilo,-33.7061,150.7453,46.60891199264833
384,Loftus,-34.0465,151.0471,24.762528255737255
385,Londonderry,-33.6485,150.7355,50.23883681883893
386,Long Point,-34.012,150.897,32.9513395793041
387,Longueville,-33.83309,151.16494,5.705849305556417
388,Lovett Bay,-33.6296855,151.2816573,27.358528172783746
389,Lower Portland,-33.442,150.879,56.38972798782103
390,Lucas Heights,-34.049,150.975,29.468740537648568
391,Luddenham,-33.8807,150.7146,45.78822221004265
392,Lugarno,-33.98469,151.04352,20.003528756353372
393,Lurnea,-33.9326,150.900826,29.395009149248942
394,Macquarie Fields,-33.99434,150.88757,32.8434122788467
395,Macquarie Links,-33.982,150.874,33.44854049106391
396,Macquarie Park,-33.7810467,151.122968,12.595669625945584
397,Maianbar,-34.0764794,151.1272123,24.25093170096009
398,Malabar,-33.9656,151.2487,11.336548657203007
399,Manly,-33.8060158,151.2947775,10.541881401174345
400,Manly Vale,-33.783,151.2622,10.705050933854004
401,Maraylya,-33.59775,150.91609,40.525387326870614
402,Marayong,-33.7495256,150.8929227,32.14307129607396
403,Maroota,-33.4540456,150.9889238,50.34127238788703
404,Maroubra,-33.9495,151.2437,9.497935659586492
405,Marrickville,-33.908667,151.1524142,6.871821872087382
406,Marsden Park,-33.68908,150.80285,42.59936406159958
407,Marsfield,-33.7800906,151.1029137,13.922926354063758
408,Mascot,-33.9296324,151.1946223,6.880557749661146
409,Matraville,-33.9613,151.2315,10.461494866429904
410,Mays Hill,-33.8206367,150.9881962,21.14969311599203
411,McCarrs Creek,-33.643,151.277,25.820964384738215
412,McGraths Hill,-33.61939,150.84304,43.785504479202935
413,McMahons Point,-33.84524,151.20433,2.6555136066372955
414,Meadowbank,-33.81692,151.08333,13.00247132533852
415,Melonba,-33.71118,150.77224,44.09152743208611
416,Melrose Park,-33.8145781,151.0718821,14.069667802655443
417,Menai,-34.0118,151.0089,24.387577978016704
418,Menangle Park,-34.102939,150.742442,50.35083459935347
419,Merrylands,-33.835802,150.9865196,20.93940697219774
420,Merrylands West,-33.83742,150.96168,23.178361694774665
421,Middle Cove,-33.7938,151.2086,8.321384873250283
422,Middle Dural,-33.6408817,151.0180269,30.874427065739454
423,Middleton Grange,-33.915,150.842,34.3593825257107
424,Miller,-33.9268,150.8724,31.8179538567239
425,Millers Point,-33.86085,151.20281,1.0684495057114924
426,Milperra,-33.9370869,150.9827465,22.27971481779415
427,Milsons Passage,-33.517,151.176,39.14464714688838
428,Milsons Point,-33.84765,151.21201,2.361537131008373
429,Minchinbury,-33.7896243,150.8369469,35.569754363120694
430,Minto,-34.02646,150.8507,37.478102420244866
431,Minto Heights,-34.031,150.8743,35.81263295624176
432,Miranda,-34.0299364,151.1055499,20.281892005823252
433,Mona Vale,-33.67596,151.30653,23.2104941456274
434,Monterey,-33.9738,151.1479,12.954757151473343
435,Moore Park,-33.8952578,151.2215296,3.1433517468694516
436,Moorebank,-33.9397082,150.9249864,27.44571113784824
437,Morning Bay,-33.627,151.287,27.77163544220393
438,Mortdale,-33.96932,151.06969,17.056594780700777
439,Mortlake,-33.8405772,151.1060971,10.05082756482545
440,Mosman,-33.829075,151.24409,5.459306897156479
441,Mount Annan,-34.065,150.76,46.88043939727287
442,Mount Colah,-33.670759,151.1152582,23.632560429705006
443,Mount Druitt,-33.7722,150.8194,37.653316276222185
444,Mount Kuring-Gai,-33.6414763,151.1308651,26.242563579093858
445,Mount Lewis,-33.915,151.051,15.51269846344893
446,Mount Pritchard,-33.898,150.901,28.703726968926265
447,Mount Vernon,-33.857,150.81,36.971212572157505
448,Mulgoa,-33.8461,150.6525,51.586719960811735
449,Mulgrave,-33.615,150.828,45.17684168994824
450,Narellan Vale,-34.0504,150.7483,47.129583838933044
451,Naremburn,-33.8177311,151.2011183,5.717041930571068
452,Narrabeen,-33.7231,151.2952,18.014685824114675
453,Narraweena,-33.748611,151.267778,14.391039965716423
454,Narwee,-33.947329,151.0707329,15.493705371428874
455,Nelson,-33.6457,150.922,36.3445296215353
456,Neutral Bay,-33.8339383,151.2188459,3.968703944130912
457,Newington,-33.839,151.055,14.656994073550562
458,Newport,-33.6564,151.3137,25.46919041551041
459,Newtown,-33.8978149,151.1785003,4.296491930454632
460,Nirimba Fields,-33.7237101,150.8770104,34.72642432661235
461,Normanhurst,-33.7245321,151.0970108,19.085427377618927
462,North Balgowlah,-33.785604,151.2495903,9.955452597848259
463,North Bondi,-33.8879,151.2808,6.945623423330346
464,North Curl Curl,-33.7645,151.2973,14.151822804404706
465,North Epping,-33.7623,151.101,15.495965309008001
466,North Kellyville,-33.6852445,150.9525664,31.306162615308647
467,North Manly,-33.7754,151.2689,11.739681147120695
468,North Narrabeen,-33.7065,151.2884,19.437760703862736
469,North Parramatta,-33.800281,151.0042445,20.446120616175595
470,North Richmond,-33.5817778,150.7150959,55.7812919902076
471,North Rocks,-33.7750537,151.0238278,20.07436497755846
472,North Ryde,-33.7931778,151.1197879,11.791682045914943
473,North St Ives,-33.72136,151.16844,16.787928189173797
474,North St Marys,-33.749,150.782,41.73631879557209
475,North Strathfield,-33.8604,151.08856,11.21075522785941
476,North Sydney,-33.83965,151.20541,3.2554150535412427
477,North Turramurra,-33.704927,151.1490162,19.01666956819908
478,North Willoughby,-33.795,151.204,8.202693003693659
479,North Wahroonga,-33.701,151.126,20.149619638793375
480,Northbridge,-33.81325,151.21717,6.206705498989
481,Northmead,-33.78974,150.9921094,21.934879818800912
482,Northwood,-33.82813000000001,151.17619,5.455000152538613
483,Norwest,-33.7316522,150.9665906,27.14011779865303
484,Oakhurst,-33.7385688,150.8359742,37.465873148526846
485,Oakville,-33.6222,150.8669,41.890496762883345
486,Oatlands,-33.7963384,151.0263232,18.74819635712027
487,Oatley,-33.98118,151.07479,17.607171349751802
488,Old Guildford,-33.86577,150.98346,20.898886205883645
489,Old Toongabbie,-33.787,150.966,24.281759315281754
490,Oran Park,-34.003,150.743,45.607723887881654
491,Orchard Hills,-33.7923295,150.7330734,44.89180521360461
492,Oxford Falls,-33.7352,151.2469,15.224499817439712
493,Oxley Park,-33.7709,150.7934,40.00585869213805
494,Oyster Bay,-34.00754,151.07514,19.763411559505506
495,Paddington,-33.8850215,151.2262353,2.3844939257411317
